RPM,S1,S2,S3,

172,402,458,408,
173,344,384,345,
174,348,393,342,
175,345,393,350,
176,354,408,360,
177,357,406,356,
178,360,408,361,
179,367,418,361,
180,369,419,363,
181,367,418,367,
182,375,419,372,
183,374,424,372,
184,376,426,381,
185,380,432,383,
186,381,433,382,
187,384,431,386,
188,384,438,388,
189,385,439,389,
190,388,439,392,
191,388,440,396,
192,389,447,390,
193,392,445,395,
194,394,445,399,
195,395,451,401,
196,396,456,401,
197,400,454,405,
198,401,456,407,
199,400,457,403,
200,401,460,402,
201,402,461,404,
202,399,455,404,
203,402,456,403,
204,401,461,405,
205,401,461,405,
206,403,456,405,
207,398,454,403,
208,400,457,405,
209,401,458,406,
210,399,455,401,
211,402,458,405,
212,400,459,403,
213,396,456,404,
214,403,455,406,
215,400,455,404,
216,402,458,405,
217,400,456,404,
218,399,454,404,
219,400,457,405,
220,399,456,404,
221,399,455,402,
222,400,458,401,
223,400,459,407,
224,398,455,409,
225,402,455,405,
226,401,459,406,
227,400,458,408,
228,402,458,406,
229,402,454,406,
230,399,457,406,
231,400,458,406,
232,399,456,406,
233,399,458,405,
234,400,457,404,
235,399,455,405,
236,400,456,405,
237,399,457,404,
238,401,456,407,
239,401,454,407,
240,401,457,405,
241,398,456,407,
242,398,456,406,
243,400,457,407,
244,401,458,409,
245,402,455,405,
246,399,453,407,
247,399,459,406,
248,400,456,408,
247,401,458,406,
246,399,459,405,
245,400,458,406,
244,399,456,405,
243,399,460,406,
242,400,457,405,
241,401,455,408,
240,397,456,400,
239,400,455,404,
238,400,457,402,
237,403,459,410,
236,402,456,408,
235,401,457,406,
234,399,457,406,
233,397,449,411,
232,400,451,407,
231,401,449,406,
230,401,452,409,
229,398,448,405,
228,401,450,407,
227,399,451,411,
226,400,450,409,
225,401,452,410,
224,399,450,409,
223,401,451,408,
222,400,451,408,
221,399,450,406,
220,402,453,408,
219,400,451,409,
218,401,450,407,
217,402,453,409,
216,401,451,411,
215,402,453,409,
214,399,452,408,
213,401,451,408,
212,400,452,407,
211,402,450,406,
210,401,452,407,
209,401,453,409,
208,402,451,406,
207,401,452,408,
206,399,450,407,
205,400,450,406,
204,400,453,408,
203,400,452,407,
202,400,451,408,
201,399,452,407,
200,400,455,408,
199,400,452,406,
198,399,451,406,
197,399,452,407,
196,400,451,406,
195,396,456,399,
194,394,454,400,
193,393,447,397,
192,394,443,400,
191,388,445,394,
190,390,449,398,
189,389,443,391,
188,385,433,393,
187,382,438,388,
186,381,431,391,
185,381,430,385,
184,380,423,384,
183,377,426,379,
182,375,423,374,
181,370,424,373,
180,370,417,371,
179,367,414,367,
178,364,417,363,
177,363,410,363,
176,361,412,362,
175,350,402,350,
174,350,393,354,
173,345,390,346,
172,340,390,351,
171,338,383,337,
170,340,381,341,
171,327,376,338,
172,327,378,342,
173,338,380,338,
174,341,387,339,
175,346,395,352,
176,343,396,359,
177,356,400,353,
178,358,412,358,
179,359,408,356,
180,363,411,359,
181,368,416,372,
182,370,426,374,
183,372,423,372,
184,373,420,377,
185,375,421,374,
186,378,427,382,
187,379,433,380,
188,378,435,387,
189,384,437,388,
190,383,437,388,
191,389,438,393,
192,390,446,396,
193,389,448,392,
194,392,448,397,
195,394,450,402,
196,396,458,405,
197,400,450,400,
198,400,451,403,
199,400,450,402,
200,399,452,404,
201,399,451,403,
202,398,454,403,
203,398,451,403,
204,396,452,405,
205,398,450,403,
206,398,451,405,
207,399,451,405,
208,398,451,403,
209,400,451,404,
210,398,451,405,
211,398,452,407,
212,397,451,406,
213,396,452,404,
214,397,449,403,
215,398,450,405,
216,397,449,404,
217,396,449,406,
218,397,448,403,
219,398,449,406,
220,395,447,405,
221,397,447,406,
222,400,450,406,
223,404,453,414,
224,404,451,411,
225,398,457,402,
226,403,455,413,
227,401,456,409,
228,399,451,401,
229,402,454,405,
230,400,451,404,
231,399,450,405,
232,400,449,406,
233,399,454,405,
234,399,451,403,
235,400,455,406,
236,399,451,403,
237,400,454,404,
238,400,452,402,
239,400,454,406,
240,400,454,402,
241,401,456,404,
242,397,453,403,
243,402,454,403,
244,400,454,404,
245,399,452,402,
246,399,454,403,
247,399,453,403,
248,398,453,403,
247,400,452,404,
246,397,452,403,
245,399,451,402,
244,398,454,405,
243,399,452,404,
242,398,450,403,
241,399,451,403,
240,397,450,402,
239,401,454,404,
238,399,452,404,
237,399,455,406,
236,400,452,404,
235,400,454,405,
234,400,454,404,
233,400,455,404,
232,398,453,404,
231,399,453,403,
230,398,454,404,
229,399,453,404,
228,397,454,404,
227,399,453,404,
226,398,453,403,
225,397,449,402,
224,398,454,404,
223,396,452,404,
222,398,455,407,
221,398,453,404,
220,399,453,407,
219,397,453,404,
218,400,453,404,
217,397,453,405,
216,399,451,403,
215,397,454,404,
214,398,452,403,
213,397,453,403,
212,398,453,407,
211,396,453,404,
210,399,453,405,
209,399,454,405,
208,398,453,405,
207,397,454,404,
206,396,453,404,
205,398,453,406,
204,396,453,405,
203,397,452,404,
202,397,452,403,
201,399,453,407,
200,399,453,404,
199,399,452,404,
198,400,453,405,
197,400,453,404,
196,395,455,399,
195,398,454,403,
194,395,453,406,
193,392,444,397,
192,391,444,395,
191,388,444,392,
190,389,434,394,
189,386,433,390,
188,382,440,388,
187,383,427,386,
186,376,433,389,
185,375,429,380,
184,378,428,386,
183,376,426,384,
182,371,428,385,
181,369,421,384,
180,368,408,372,
179,369,416,366,
178,359,410,372,
177,359,409,363,
176,354,403,362,
175,350,393,354,
174,347,394,358,
173,343,393,350,
172,345,388,340,
171,341,379,340,
