Time,Yaw,RPM,Laser1,Laser2,Laser3,
18,0.5625,173,339,386,339,
19,0.5625,174,340,393,347,
20,0.6250,175,346,397,347,
21,0.6875,176,355,406,352,
22,0.6875,177,353,409,356,
23,0.6875,178,361,416,359,
24,0.7500,179,362,405,359,
25,0.7500,180,364,410,365,
26,0.7500,181,367,413,374,
28,0.8125,182,374,416,372,
29,0.8750,183,370,422,379,
30,0.8750,184,372,426,384,
31,0.9375,185,376,427,381,
32,0.9375,186,378,430,387,
33,1.0625,187,381,431,385,
34,1.0625,188,384,429,386,
35,1.1250,189,385,437,390,
36,1.0000,190,387,438,390,
37,1.1250,191,394,439,394,
38,1.1875,192,395,447,401,
39,1.1875,193,393,450,395,
40,1.1875,194,395,449,397,
41,1.1875,195,397,450,399,
42,1.1875,196,400,452,401,
43,1.3750,197,401,456,401,
44,1.3125,198,401,455,403,
45,1.3750,199,401,457,403,
46,1.5625,200,402,455,403,
47,1.5000,201,403,454,405,
48,1.5000,202,402,456,403,
49,1.5625,203,403,457,407,
50,1.5000,204,400,453,405,
51,1.5000,205,401,453,403,
52,1.4375,206,402,456,404,
53,1.4375,207,401,453,403,
54,1.5000,208,401,455,403,
55,1.5625,209,402,456,403,
56,1.6250,210,400,453,403,
57,1.6875,211,401,454,403,
58,1.7500,212,402,456,402,
59,2.1250,213,404,453,408,
60,2.3750,214,401,451,406,
61,3.3125,215,401,452,404,
62,2.9375,216,397,454,408,
63,4.1875,217,404,452,409,
64,4.4375,218,402,455,406,
65,4.5000,219,402,454,406,
66,4.5000,220,402,452,407,
67,4.5000,221,401,452,405,
68,4.5000,222,402,457,408,
69,4.5000,223,400,453,406,
70,4.5625,224,400,453,404,
71,4.6250,225,398,455,404,
72,4.6875,226,400,454,406,
73,4.6875,227,401,454,403,
74,4.7500,228,398,456,403,
76,4.7500,229,400,456,404,
77,4.8750,230,399,455,404,
78,4.8750,231,401,454,404,
79,4.8750,232,400,454,404,
80,4.9375,233,400,455,405,
81,4.9375,234,399,452,405,
82,5.0000,235,402,456,406,
83,5.0625,236,398,454,404,
84,5.1250,237,400,453,404,
85,5.1875,238,401,454,406,
86,5.2500,239,400,454,408,
87,5.3750,240,400,453,404,
88,5.3750,241,401,456,406,
89,5.4375,242,402,454,405,
90,5.4375,243,402,454,406,
91,5.5000,244,402,456,405,
92,5.5625,245,402,455,407,
93,5.6250,246,400,452,405,
94,5.6875,247,401,455,407,
95,5.7500,248,401,455,406,
96,5.7500,247,403,453,406,
97,5.8125,246,401,455,404,
98,5.8125,245,402,452,406,
99,5.8125,244,402,452,407,
100,5.1875,243,397,447,408,
101,3.0625,242,397,441,419,
102,1.1250,241,399,443,418,
103,1.8125,240,403,447,409,
104,4.0000,239,401,454,404,
105,4.1875,238,399,451,404,
106,0.3125,237,397,433,427,
107,358.3750,236,402,430,418,
108,359.0625,235,402,431,418,
109,359.8750,234,400,438,420,
110,0.3750,233,402,448,410,
111,2.8125,232,401,451,405,
112,3.3125,231,402,454,405,
113,4.1875,230,401,454,404,
114,4.3125,229,399,451,402,
115,4.5000,228,399,454,402,
116,4.1250,227,400,454,405,
117,357.3750,226,407,452,408,
118,357.0625,225,407,451,407,
119,357.0625,224,407,449,410,
120,356.5000,223,410,454,410,
121,355.7500,222,403,448,410,
122,357.6250,221,402,447,410,
124,1.3125,220,401,455,404,
125,2.0000,219,401,453,407,
126,2.2500,218,399,451,405,
127,3.1875,217,401,455,402,
128,3.5000,216,400,455,405,
129,3.3750,215,399,447,406,
130,2.8750,214,403,442,419,
131,358.6875,213,407,435,429,
132,356.9375,212,405,440,422,
133,356.7500,211,404,440,425,
134,358.2500,210,405,455,410,
135,357.6250,209,399,443,411,
136,358.6250,208,406,441,426,
137,357.4375,207,404,446,417,
138,355.6250,206,402,450,414,
139,355.9375,205,407,444,420,
140,357.3125,204,406,443,413,
141,358.6875,203,407,442,415,
142,1.3750,202,402,453,406,
143,2.2500,201,400,451,406,
144,2.3750,200,402,454,403,
145,2.5000,199,402,454,406,
146,2.9375,198,403,455,407,
147,2.4375,197,402,456,403,
148,0.5625,196,403,449,409,
149,359.3125,195,404,448,413,
150,2.2500,194,399,444,402,
151,2.5625,193,393,442,400,
152,2.6875,192,395,443,401,
153,3.0625,191,396,441,405,
154,2.7500,190,408,453,419,
155,2.8125,189,408,443,410,
156,3.0000,188,408,444,413,
157,3.2500,187,420,449,427,
158,3.3125,186,428,450,445,
159,3.2500,185,429,456,444,
160,3.3750,184,436,445,447,
161,3.4375,183,449,447,453,
162,3.4375,182,449,446,465,
163,3.5625,181,449,439,462,
164,3.5625,180,466,464,476,
165,3.6250,179,479,481,479,
166,3.8125,178,479,481,471,
167,3.8750,177,501,490,496,
168,3.9375,176,496,480,486,
169,4.0000,175,495,476,489,
171,3.9375,174,548,538,520,
172,4.0625,173,539,524,511,
173,4.1250,172,543,524,516,
174,4.2500,171,571,570,520,
